wzrost wyskok szybkosc wiek skok_w_dal skok_wzwyz
195.9 40.8 21 20 1 2
190.7 45.5 34 12 1 3
197.0 51.6 13 34 3 4
176.2 55.0 23 19 2.2 2.4
178.6 49.4 17 14 1 1
162.24 30.08 20.01 10 2.49 0.96
207.54 36.30 14.70 20 2.29 1.93
190.40 46.82 29.49 18 1.96 0.51
209.09 33.01 22.44 34 1.96 1.83
158.36 58.32 15.00 12 1.89 0.57
166.50 39.20 19.02 32 2.06 0.68
162.23 31.11 33.91 18 1.31 1.33
184.51 58.52 20.98 16 2.01 1.60
191.47 52.50 13.42 14 2.17 0.96
196.94 48.49 31.02 21 1.36 2.19
165.52 55.44 20.02 31 2.01 0.61
204.48 53.61 12.86 29 1.91 1.61
182.05 37.11 24.47 13 1.37 2.05
156.56 26.88 27.92 25 1.23 1.34
151.49 32.47 20.97 26 0.82 0.70
174.05 49.71 33.48 23 2.25 1.51
204.42 35.73 20.72 15 2.34 1.09
162.17 38.24 16.39 29 1.48 1.46
188.33 27.58 21.03 11 1.11 0.95
174.72 58.10 34.20 11 2.33 1.13
175.53 32.92 15.64 31 1.83 1.47
161.93 35.26 25.37 23 2.01 1.79
153.50 42.92 11.20 18 0.57 1.93
203.98 26.57 23.40 34 1.97 0.71
194.02 52.93 31.34 31 0.81 1.21
160.62 26.52 22.17 11 2.09 1.17
173.28 48.42 18.86 18 2.13 1.50
159.50 51.68 17.14 23 2.40 2.42
186.20 47.09 25.92 11 1.11 1.63
202.15 29.23 13.49 29 2.39 0.57
172.81 31.51 14.13 16 1.08 1.41
170.31 41.67 27.24 28 0.94 0.65
166.58 43.62 18.30 27 1.24 1.09
176.17 46.93 17.60 27 1.62 2.08
172.03 29.98 28.09 18 1.75 1.65
194.17 58.80 26.39 25 2.00 1.20
192.51 40.74 32.73 27 1.38 1.31
174.78 59.20 30.41 32 0.60 0.85
200.88 26.71 17.25 11 1.94 2.43
175.32 47.41 32.07 31 1.03 2.04
152.54 54.10 18.03 15 1.59 2.31
176.31 52.80 34.63 15 0.67 1.78
157.01 42.67 22.63 15 2.27 1.71
174.79 40.32 28.98 19 1.95 1.62
196.10 55.96 30.66 13 1.07 1.23
158.11 25.26 18.72 20 1.13 1.25
177.48 28.14 21.84 26 0.72 2.30
160.67 52.80 28.75 34 0.75 2.39
154.99 54.52 17.73 13 1.64 2.30
150.38 41.36 34.88 34 1.82 0.85
194.66 52.27 24.35 34 0.59 1.59
200.24 53.93 13.52 26 0.77 1.65
159.56 30.68 17.10 25 1.08 1.13
162.95 43.46 31.87 26 1.33 1.30
163.76 51.02 11.50 13 0.99 1.59
161.60 45.40 18.33 18 1.33 2.25
172.71 49.54 30.42 19 0.73 1.49
195.97 38.16 13.66 33 1.05 1.59
174.32 33.71 15.39 14 2.29 1.66
169.53 35.65 24.72 34 2.18 1.22
153.84 59.16 30.62 26 0.92 1.00
208.57 30.24 15.88 13 1.60 1.49
186.92 40.11 28.20 22 1.47 1.50
198.29 43.38 17.62 27 0.55 1.09
179.85 57.62 16.50 28 0.50 1.59
153.35 29.44 24.15 15 0.74 2.44
198.65 33.32 18.07 33 1.86 0.65
183.18 37.40 11.95 12 1.16 0.77
195.22 53.08 33.89 29 1.18 2.42
178.75 47.90 13.01 32 2.31 2.01
153.45 53.38 17.07 18 2.30 1.34
209.32 56.71 26.82 32 1.08 1.75
177.32 33.90 10.10 13 1.90 0.98
183.16 45.81 30.74 16 2.39 0.96
191.81 54.85 19.45 14 1.04 0.70
167.76 29.83 18.97 33 0.65 1.63
152.00 31.30 23.24 21 0.97 1.02
162.96 40.29 21.69 28 1.22 1.03
197.12 28.29 12.69 21 2.48 1.20
195.22 45.44 21.27 18 1.51 0.58
206.66 54.83 27.91 28 2.18 2.23
180.13 27.88 10.46 22 0.89 1.49
197.11 54.99 29.47 34 2.24 1.55
195.55 37.09 26.78 33 0.85 1.90
159.70 45.16 33.91 30 1.55 1.07
171.71 49.60 34.50 26 1.62 0.67
169.48 44.65 34.12 16 2.35 1.64
174.27 35.18 30.40 28 1.97 1.15
158.67 42.24 29.69 22 2.10 0.80
156.92 46.18 18.51 12 1.43 2.39
192.43 45.59 20.76 27 2.22 1.87
187.30 29.93 20.54 33 1.22 1.02
209.00 45.52 21.82 12 2.09 2.19
184.92 39.23 29.25 14 1.06 1.58
165.03 41.12 23.50 31 1.27 0.58
158.23 38.62 29.73 32 2.42 1.58
188.59 33.22 31.46 14 2.25 0.76
184.18 40.06 20.97 21 2.05 0.95
187.17 33.51 30.06 10 1.70 0.68
201.14 36.73 29.72 26 1.99 0.88
191.21 43.35 16.06 20 1.51 1.18
154.52 53.84 34.29 26 1.69 2.13
182.03 26.40 26.23 13 1.38 2.34
155.42 51.23 32.02 12 0.52 1.57
155.92 50.47 10.20 15 1.48 1.71
188.61 45.83 25.59 14 1.83 0.90
188.86 43.00 11.27 30 2.28 0.89
199.61 31.80 15.27 34 2.42 1.68
160.46 57.91 29.91 33 0.52 1.04
160.12 34.47 21.83 25 2.25 1.23
182.91 43.91 15.92 10 0.52 1.67
195.71 59.08 10.56 31 2.13 1.99
196.89 38.38 17.27 17 1.45 1.83
166.25 53.92 25.76 21 1.64 1.52
152.39 28.86 21.09 20 1.37 1.01
165.81 40.75 30.98 23 1.59 1.31
174.39 46.69 27.63 18 0.72 1.98
200.84 43.87 16.49 29 0.69 1.80
154.30 57.28 33.77 31 1.26 2.10
191.79 30.72 29.57 20 2.47 2.08
197.48 30.67 32.41 28 2.30 1.01
200.82 57.28 31.50 24 0.59 2.43
173.89 41.06 13.33 27 2.28 0.95
154.68 31.96 25.94 34 1.85 2.42
178.59 37.82 17.68 33 1.83 1.70
153.20 37.86 30.84 17 2.35 0.82
201.73 57.26 22.74 30 2.03 1.21
200.51 57.34 15.71 32 0.87 1.34
203.21 27.74 22.40 26 1.49 2.15
151.25 36.81 24.72 29 1.08 1.96
185.14 25.13 21.84 10 1.44 0.95
155.39 50.21 11.12 19 1.92 2.04
193.61 35.20 14.75 34 1.08 0.68
165.23 38.86 23.24 21 0.88 2.05
153.87 40.42 18.26 26 2.41 1.22
188.33 40.83 33.77 25 2.14 2.01
205.37 46.52 34.27 23 1.72 1.50
173.26 54.94 28.48 32 1.42 2.18
190.77 49.07 16.04 33 0.76 1.63
208.88 48.44 32.10 13 1.54 1.94
201.58 35.26 21.28 34 1.71 1.68
191.61 36.58 25.64 20 1.69 2.32
163.51 54.40 11.59 19 0.54 0.53
205.89 44.18 29.40 19 1.63 1.14
201.04 25.05 16.25 17 0.98 1.29
180.13 37.39 34.45 34 2.18 2.50
182.92 30.92 11.07 30 2.04 1.20
192.51 34.60 27.93 12 0.86 1.47
170.45 43.26 13.71 31 0.58 1.33
153.00 56.74 17.61 21 1.02 0.52
161.06 42.78 21.78 22 1.62 1.54
202.77 57.90 31.06 19 1.82 2.37
169.62 55.63 23.24 29 0.74 2.28
166.57 56.95 33.43 30 1.08 0.99
199.62 50.00 15.63 17 1.63 0.75
156.84 53.69 21.02 26 2.33 2.18
172.93 52.32 15.24 24 1.91 1.82
188.47 27.03 29.44 24 1.76 2.15
155.74 38.60 30.32 30 1.60 1.45
152.31 30.52 20.00 17 1.58 2.24
160.04 54.64 32.95 32 1.26 1.61
195.72 57.49 25.09 26 0.52 2.21
179.79 33.69 31.34 27 2.07 1.68
169.53 44.80 29.31 28 2.31 0.94
177.96 36.97 32.36 15 2.17 1.75
173.07 36.08 33.42 21 1.71 0.54
183.35 31.52 20.32 18 1.95 2.31
200.54 31.36 19.44 22 1.12 2.22
176.60 38.93 18.69 12 1.03 1.66
160.27 34.03 19.73 31 0.79 0.75
195.80 38.89 14.85 15 2.02 2.27
176.36 57.45 26.47 13 2.23 0.74
154.87 43.46 32.84 26 2.06 2.11
164.49 55.67 16.17 31 0.61 1.65
182.72 42.55 12.40 23 0.51 1.12
172.34 54.27 33.87 12 1.41 2.24
181.42 39.88 30.70 27 2.32 1.11
160.67 52.98 12.24 32 0.80 2.36
201.73 35.13 32.43 28 2.13 1.36
180.38 46.88 17.18 29 2.49 2.12
199.12 58.54 30.50 25 1.65 2.35
205.89 38.97 10.16 33 1.76 1.53
200.72 49.42 10.16 30 1.60 1.07
189.59 33.59 25.39 18 2.39 1.01
197.46 36.06 28.25 11 1.85 1.04
152.58 50.43 11.14 27 0.57 1.73
156.23 25.21 29.33 18 2.19 2.15
168.22 49.61 31.67 29 1.82 1.22
158.72 43.97 30.48 15 1.61 0.61
153.81 47.94 31.35 31 2.21 1.38
169.95 29.67 26.28 34 1.11 0.91
208.55 49.21 14.29 11 1.69 0.82
196.32 48.53 16.17 27 0.63 2.28
192.27 45.67 12.80 17 1.23 0.84
162.00 59.57 29.66 31 1.34 2.15
199.45 55.01 28.28 10 1.41 2.39
174.19 46.64 11.21 18 0.56 2.04
208.25 37.89 18.88 11 0.62 1.29
200.03 30.20 18.25 31 1.80 2.49
168.31 39.75 26.69 23 1.05 2.01
191.45 37.73 10.21 15 1.87 1.76
158.32 40.74 12.69 19 1.68 2.00
194.86 29.23 32.96 12 1.38 2.22
195.13 50.10 24.14 23 1.60 1.58
187.25 34.28 31.02 32 0.62 2.28
171.86 26.09 20.98 21 0.79 0.52
166.51 48.57 26.74 21 0.71 2.30
172.38 37.88 30.31 20 1.29 1.14
163.19 52.07 21.86 32 1.06 1.05
168.33 40.16 33.86 11 0.92 2.47
160.53 35.33 11.33 22 1.27 0.77
179.46 28.35 34.10 31 2.18 2.18
182.06 51.81 27.28 13 2.00 2.07
161.23 36.59 29.99 15 0.69 2.46
194.42 47.90 32.57 34 1.67 2.30
184.40 38.72 28.35 29 0.98 1.65
158.31 35.08 29.90 33 1.10 1.01
204.79 40.78 26.50 20 0.92 1.75
151.95 52.40 13.26 23 1.69 1.06
195.55 43.74 26.57 34 1.38 0.59
195.09 35.37 21.25 25 1.73 0.91
156.31 30.09 20.41 14 1.27 1.24
180.42 56.36 31.31 30 0.95 0.73
154.98 51.44 23.59 28 1.71 2.24
199.18 34.17 13.50 10 0.70 1.58
198.09 51.72 34.59 21 2.21 1.43
179.30 53.09 28.04 10 0.77 0.64
154.33 31.87 15.74 25 2.40 2.39
165.66 48.83 18.53 19 0.57 1.96
163.01 53.97 25.21 11 0.74 0.86
157.63 47.32 12.52 24 2.08 2.13
151.70 36.93 33.45 25 0.92 0.87
171.65 52.10 10.02 10 0.73 0.66
166.63 56.49 26.73 29 2.03 1.72
166.53 46.73 19.78 10 1.95 1.90
179.57 27.16 22.70 10 1.65 1.11
183.06 40.13 15.14 22 0.97 0.94
208.85 58.47 14.19 30 1.61 2.09
199.01 38.08 25.62 25 1.68 1.48
150.14 57.57 21.35 29 1.49 2.35
180.47 56.97 32.39 27 1.81 2.18
177.06 52.18 20.08 14 1.12 1.59
159.68 35.29 18.10 17 1.88 1.75
167.06 59.29 12.81 20 0.55 0.71
183.31 43.06 12.22 16 2.21 2.30
173.79 33.93 30.44 19 1.26 1.85
159.44 36.30 33.32 23 0.56 2.40
197.13 47.24 34.03 15 1.80 0.57
187.35 52.95 23.08 17 1.00 1.18
199.69 36.81 20.40 25 1.11 1.53
187.69 55.16 19.43 24 1.60 2.44
191.83 42.63 13.18 23 0.97 0.53
188.57 34.76 22.33 20 0.64 1.37
181.13 52.23 34.99 26 1.19 2.36
177.33 38.01 15.77 19 1.81 0.56
181.11 54.31 19.16 33 0.56 1.35
188.68 50.51 21.80 17 0.61 1.18
169.93 38.78 16.25 25 0.63 1.93
181.88 29.46 13.89 10 1.69 0.50
201.60 59.92 13.25 14 2.34 2.06
178.12 47.85 33.42 21 2.07 0.71
150.62 42.28 27.56 28 1.85 0.74
161.00 47.19 30.30 23 1.15 2.17
165.53 51.86 10.94 22 2.15 0.92
168.87 50.38 23.71 30 1.11 2.50
170.94 51.51 25.28 30 0.92 2.10
197.04 50.95 11.89 21 0.60 1.78
194.32 38.96 21.48 16 2.32 1.13
194.01 27.11 18.42 23 1.22 0.60
162.61 26.70 22.43 21 1.16 2.45
173.50 57.10 34.73 16 2.24 1.59
152.51 39.96 10.90 22 1.64 1.05
196.24 49.08 14.34 23 2.22 1.82
159.38 38.08 23.69 27 1.14 1.89
158.21 33.66 21.24 28 2.18 1.64
151.76 31.53 15.24 33 2.12 1.91
177.33 29.90 33.39 11 2.40 1.63
157.34 43.58 30.41 21 1.58 1.14
199.23 41.13 19.38 24 1.29 1.06
198.52 35.14 33.77 26 2.45 0.75
165.68 31.09 27.07 32 1.07 0.84
185.29 36.12 19.77 12 2.30 1.97
186.01 29.03 11.97 22 2.22 2.26
194.34 26.37 18.73 24 1.48 1.43
208.09 59.07 20.40 31 2.21 2.37
175.43 32.41 22.99 23 0.85 1.27
206.06 40.32 11.68 14 1.66 0.62
166.21 40.94 16.56 20 1.58 1.64
175.77 45.62 12.32 11 1.52 2.07
204.05 35.78 17.59 27 1.80 0.72
163.58 30.79 27.78 16 1.18 2.07
193.01 32.26 25.09 24 1.22 1.70
151.72 29.63 32.93 23 2.44 2.26
165.39 51.05 26.58 14 2.37 2.33
163.17 55.50 32.37 21 0.68 2.07
183.41 30.54 16.66 34 0.53 1.93
189.64 50.08 13.25 34 0.57 0.68
152.53 55.78 33.78 31 1.56 0.73
206.27 52.38 12.01 21 2.01 2.34
179.30 50.34 31.61 25 2.43 1.59
185.24 45.95 28.99 33 2.03 1.56
195.32 26.97 15.87 23 2.15 0.60
188.41 42.05 16.41 25 1.50 1.09
209.18 30.67 26.16 33 1.78 2.04
202.43 57.07 12.17 18 0.98 1.58
198.32 26.66 33.53 25 1.89 0.93
189.79 29.02 14.36 24 2.15 0.81
192.44 35.44 34.08 20 2.33 1.18
197.98 41.59 19.79 10 2.24 2.42
180.72 25.42 32.33 28 2.40 1.66
166.38 25.27 28.39 33 2.17 1.50
155.06 43.44 33.21 17 1.94 1.78
187.32 53.08 24.58 19 1.88 0.55
186.14 40.11 31.58 29 1.81 1.37
191.10 33.42 17.20 23 1.60 0.51
208.66 41.55 19.23 33 1.69 1.80
164.99 54.85 31.05 20 0.85 2.11
152.43 32.95 26.85 30 0.82 1.44
197.11 28.43 12.69 23 0.75 0.63
204.38 34.46 24.61 20 0.52 2.27
194.31 56.75 17.75 18 1.62 0.51
192.26 32.42 10.45 30 2.20 1.58
185.92 49.11 22.41 14 1.12 0.76
200.57 35.51 13.36 19 1.90 0.78
171.05 52.79 28.00 10 1.59 1.38
183.66 25.82 24.46 33 2.41 1.91
176.32 58.37 30.20 26 0.62 0.81
192.74 44.02 10.38 11 2.29 2.36
